,vbias,rbias,ibias,ibias_meas,counts,vtrig,count_time,count_rate,att_db,delay,port,device
0,0,100000,0,-3.54E-08,0,0.03,1,0,inf,0.1,1,J5
1,0.006,100000,6.00E-08,-3.73E-08,0,0.03,1,0,inf,0.1,1,J5
2,0.012,100000,1.20E-07,2.25E-08,0,0.03,1,0,inf,0.1,1,J5
3,0.018,100000,1.80E-07,8.24E-08,0,0.03,1,0,inf,0.1,1,J5
4,0.024,100000,2.40E-07,1.42E-07,0,0.03,1,0,inf,0.1,1,J5
5,0.03,100000,3.00E-07,2.02E-07,0,0.03,1,0,inf,0.1,1,J5
6,0.036,100000,3.60E-07,2.62E-07,0,0.03,1,0,inf,0.1,1,J5
7,0.042,100000,4.20E-07,3.22E-07,0,0.03,1,0,inf,0.1,1,J5
8,0.048,100000,4.80E-07,3.82E-07,0,0.03,1,0,inf,0.1,1,J5
9,0.054,100000,5.40E-07,4.42E-07,0,0.03,1,0,inf,0.1,1,J5
10,0.06,100000,6.00E-07,5.03E-07,0,0.03,1,0,inf,0.1,1,J5
11,0.066,100000,6.60E-07,5.62E-07,0,0.03,1,0,inf,0.1,1,J5
12,0.072,100000,7.20E-07,6.22E-07,0,0.03,1,0,inf,0.1,1,J5
13,0.078,100000,7.80E-07,6.82E-07,0,0.03,1,0,inf,0.1,1,J5
14,0.084,100000,8.40E-07,7.42E-07,0,0.03,1,0,inf,0.1,1,J5
15,0.09,100000,9.00E-07,8.02E-07,0,0.03,1,0,inf,0.1,1,J5
16,0.096,100000,9.60E-07,8.62E-07,0,0.03,1,0,inf,0.1,1,J5
17,0.102,100000,1.02E-06,9.23E-07,0,0.03,1,0,inf,0.1,1,J5
18,0.108,100000,1.08E-06,9.82E-07,0,0.03,1,0,inf,0.1,1,J5
19,0.114,100000,1.14E-06,1.04E-06,0,0.03,1,0,inf,0.1,1,J5
20,0.12,100000,1.20E-06,1.10E-06,0,0.03,1,0,inf,0.1,1,J5
21,0.126,100000,1.26E-06,1.16E-06,0,0.03,1,0,inf,0.1,1,J5
22,0.132,100000,1.32E-06,1.22E-06,0,0.03,1,0,inf,0.1,1,J5
23,0.138,100000,1.38E-06,1.28E-06,0,0.03,1,0,inf,0.1,1,J5
24,0.144,100000,1.44E-06,1.34E-06,0,0.03,1,0,inf,0.1,1,J5
25,0.15,100000,1.50E-06,1.40E-06,0,0.03,1,0,inf,0.1,1,J5
26,0.156,100000,1.56E-06,1.46E-06,0,0.03,1,0,inf,0.1,1,J5
27,0.162,100000,1.62E-06,1.52E-06,0,0.03,1,0,inf,0.1,1,J5
28,0.168,100000,1.68E-06,1.58E-06,0,0.03,1,0,inf,0.1,1,J5
29,0.174,100000,1.74E-06,1.64E-06,0,0.03,1,0,inf,0.1,1,J5
30,0.18,100000,1.80E-06,1.70E-06,0,0.03,1,0,inf,0.1,1,J5
31,0.186,100000,1.86E-06,1.76E-06,0,0.03,1,0,inf,0.1,1,J5
32,0.192,100000,1.92E-06,1.82E-06,0,0.03,1,0,inf,0.1,1,J5
33,0.198,100000,1.98E-06,1.88E-06,0,0.03,1,0,inf,0.1,1,J5
34,0.204,100000,2.04E-06,1.94E-06,0,0.03,1,0,inf,0.1,1,J5
35,0.21,100000,2.10E-06,2.00E-06,0,0.03,1,0,inf,0.1,1,J5
36,0.216,100000,2.16E-06,2.06E-06,0,0.03,1,0,inf,0.1,1,J5
37,0.222,100000,2.22E-06,2.12E-06,0,0.03,1,0,inf,0.1,1,J5
38,0.228,100000,2.28E-06,2.18E-06,0,0.03,1,0,inf,0.1,1,J5
39,0.234,100000,2.34E-06,2.24E-06,0,0.03,1,0,inf,0.1,1,J5
40,0.24,100000,2.40E-06,2.30E-06,0,0.03,1,0,inf,0.1,1,J5
41,0.246,100000,2.46E-06,2.36E-06,0,0.03,1,0,inf,0.1,1,J5
42,0.252,100000,2.52E-06,2.42E-06,0,0.03,1,0,inf,0.1,1,J5
43,0.258,100000,2.58E-06,2.48E-06,0,0.03,1,0,inf,0.1,1,J5
44,0.264,100000,2.64E-06,2.54E-06,0,0.03,1,0,inf,0.1,1,J5
45,0.27,100000,2.70E-06,2.60E-06,0,0.03,1,0,inf,0.1,1,J5
46,0.276,100000,2.76E-06,2.66E-06,0,0.03,1,0,inf,0.1,1,J5
47,0.282,100000,2.82E-06,2.72E-06,0,0.03,1,0,inf,0.1,1,J5
48,0.288,100000,2.88E-06,2.78E-06,0,0.03,1,0,inf,0.1,1,J5
49,0.294,100000,2.94E-06,2.84E-06,0,0.03,1,0,inf,0.1,1,J5
50,0.3,100000,3.00E-06,2.90E-06,0,0.03,1,0,inf,0.1,1,J5
51,0.306,100000,3.06E-06,2.96E-06,0,0.03,1,0,inf,0.1,1,J5
52,0.312,100000,3.12E-06,3.02E-06,0,0.03,1,0,inf,0.1,1,J5
53,0.318,100000,3.18E-06,3.08E-06,0,0.03,1,0,inf,0.1,1,J5
54,0.324,100000,3.24E-06,3.14E-06,0,0.03,1,0,inf,0.1,1,J5
55,0.33,100000,3.30E-06,3.20E-06,0,0.03,1,0,inf,0.1,1,J5
56,0.336,100000,3.36E-06,3.26E-06,0,0.03,1,0,inf,0.1,1,J5
57,0.342,100000,3.42E-06,3.32E-06,0,0.03,1,0,inf,0.1,1,J5
58,0.348,100000,3.48E-06,3.38E-06,0,0.03,1,0,inf,0.1,1,J5
59,0.354,100000,3.54E-06,3.44E-06,0,0.03,1,0,inf,0.1,1,J5
60,0.36,100000,3.60E-06,3.50E-06,0,0.03,1,0,inf,0.1,1,J5
61,0.366,100000,3.66E-06,3.56E-06,0,0.03,1,0,inf,0.1,1,J5
62,0.372,100000,3.72E-06,3.62E-06,0,0.03,1,0,inf,0.1,1,J5
63,0.378,100000,3.78E-06,3.68E-06,0,0.03,1,0,inf,0.1,1,J5
64,0.384,100000,3.84E-06,3.74E-06,0,0.03,1,0,inf,0.1,1,J5
65,0.39,100000,3.90E-06,3.80E-06,0,0.03,1,0,inf,0.1,1,J5
66,0.396,100000,3.96E-06,3.86E-06,0,0.03,1,0,inf,0.1,1,J5
67,0.402,100000,4.02E-06,3.92E-06,0,0.03,1,0,inf,0.1,1,J5
68,0.408,100000,4.08E-06,3.98E-06,0,0.03,1,0,inf,0.1,1,J5
69,0.414,100000,4.14E-06,4.04E-06,1,0.03,1,1,inf,0.1,1,J5
70,0.42,100000,4.20E-06,4.10E-06,1,0.03,1,1,inf,0.1,1,J5
71,0.426,100000,4.26E-06,4.16E-06,0,0.03,1,0,inf,0.1,1,J5
72,0.432,100000,4.32E-06,4.22E-06,1,0.03,1,1,inf,0.1,1,J5
73,0.438,100000,4.38E-06,4.28E-06,1,0.03,1,1,inf,0.1,1,J5
74,0.444,100000,4.44E-06,4.34E-06,2,0.03,1,2,inf,0.1,1,J5
75,0.45,100000,4.50E-06,4.40E-06,0,0.03,1,0,inf,0.1,1,J5
76,0.456,100000,4.56E-06,4.46E-06,1,0.03,1,1,inf,0.1,1,J5
77,0.462,100000,4.62E-06,4.52E-06,2,0.03,1,2,inf,0.1,1,J5
78,0.468,100000,4.68E-06,4.58E-06,3,0.03,1,3,inf,0.1,1,J5
79,0.474,100000,4.74E-06,4.64E-06,2,0.03,1,2,inf,0.1,1,J5
80,0.48,100000,4.80E-06,4.70E-06,3,0.03,1,3,inf,0.1,1,J5
81,0.486,100000,4.86E-06,4.76E-06,2,0.03,1,2,inf,0.1,1,J5
82,0.492,100000,4.92E-06,4.82E-06,3,0.03,1,3,inf,0.1,1,J5
83,0.498,100000,4.98E-06,4.88E-06,1,0.03,1,1,inf,0.1,1,J5
84,0.504,100000,5.04E-06,4.94E-06,3,0.03,1,3,inf,0.1,1,J5
85,0.51,100000,5.10E-06,5.00E-06,1,0.03,1,1,inf,0.1,1,J5
86,0.516,100000,5.16E-06,5.06E-06,1,0.03,1,1,inf,0.1,1,J5
87,0.522,100000,5.22E-06,5.12E-06,3,0.03,1,3,inf,0.1,1,J5
88,0.528,100000,5.28E-06,5.18E-06,6,0.03,1,6,inf,0.1,1,J5
89,0.534,100000,5.34E-06,5.24E-06,5,0.03,1,5,inf,0.1,1,J5
