,vbias,rbias,ibias,ibias_meas,counts,vtrig,count_time,count_rate,att_db,delay,port
0,0,100000,0,-3.66E-08,0,0.03,1,0,30,0.1,1
1,0.006,100000,6.00E-08,-3.72E-08,0,0.03,1,0,30,0.1,1
2,0.012,100000,1.20E-07,2.25E-08,0,0.03,1,0,30,0.1,1
3,0.018,100000,1.80E-07,8.24E-08,0,0.03,1,0,30,0.1,1
4,0.024,100000,2.40E-07,1.42E-07,0,0.03,1,0,30,0.1,1
5,0.03,100000,3.00E-07,2.02E-07,0,0.03,1,0,30,0.1,1
6,0.036,100000,3.60E-07,2.62E-07,0,0.03,1,0,30,0.1,1
7,0.042,100000,4.20E-07,3.22E-07,0,0.03,1,0,30,0.1,1
8,0.048,100000,4.80E-07,3.82E-07,0,0.03,1,0,30,0.1,1
9,0.054,100000,5.40E-07,4.42E-07,0,0.03,1,0,30,0.1,1
10,0.06,100000,6.00E-07,5.03E-07,0,0.03,1,0,30,0.1,1
11,0.066,100000,6.60E-07,5.62E-07,0,0.03,1,0,30,0.1,1
12,0.072,100000,7.20E-07,6.22E-07,0,0.03,1,0,30,0.1,1
13,0.078,100000,7.80E-07,6.82E-07,0,0.03,1,0,30,0.1,1
14,0.084,100000,8.40E-07,7.42E-07,0,0.03,1,0,30,0.1,1
15,0.09,100000,9.00E-07,8.02E-07,0,0.03,1,0,30,0.1,1
16,0.096,100000,9.60E-07,8.62E-07,0,0.03,1,0,30,0.1,1
17,0.102,100000,1.02E-06,9.23E-07,0,0.03,1,0,30,0.1,1
18,0.108,100000,1.08E-06,9.82E-07,0,0.03,1,0,30,0.1,1
19,0.114,100000,1.14E-06,1.04E-06,0,0.03,1,0,30,0.1,1
20,0.12,100000,1.20E-06,1.10E-06,0,0.03,1,0,30,0.1,1
21,0.126,100000,1.26E-06,1.16E-06,0,0.03,1,0,30,0.1,1
22,0.132,100000,1.32E-06,1.22E-06,0,0.03,1,0,30,0.1,1
23,0.138,100000,1.38E-06,1.28E-06,0,0.03,1,0,30,0.1,1
24,0.144,100000,1.44E-06,1.34E-06,0,0.03,1,0,30,0.1,1
25,0.15,100000,1.50E-06,1.40E-06,0,0.03,1,0,30,0.1,1
26,0.156,100000,1.56E-06,1.46E-06,0,0.03,1,0,30,0.1,1
27,0.162,100000,1.62E-06,1.52E-06,0,0.03,1,0,30,0.1,1
28,0.168,100000,1.68E-06,1.58E-06,0,0.03,1,0,30,0.1,1
29,0.174,100000,1.74E-06,1.64E-06,0,0.03,1,0,30,0.1,1
30,0.18,100000,1.80E-06,1.70E-06,0,0.03,1,0,30,0.1,1
31,0.186,100000,1.86E-06,1.76E-06,0,0.03,1,0,30,0.1,1
32,0.192,100000,1.92E-06,1.82E-06,0,0.03,1,0,30,0.1,1
