Temperature (K),Channel 1 Resistance,Channel 1 Current (uA)
1.699912,847.231201,0.000625
1.699912,847.231201,0.000625
1.700005,-1230.512939,0.000625
1.699956,-524.0896,0.000625
1.700234,1077.773926,0.000625
1.703653,1661.050049,0.000625
1.70973,-781.361633,0.000625
1.725986,-1770.354248,0.000625
1.738825,-427.194794,0.000625
1.746654,-155.602982,0.000625
1.753047,765.132996,0.000625
1.76362,1140.30127,0.000625
1.771705,-712.628113,0.000625
1.77837,-3602.761963,0.000625
1.785253,2030.490234,0.000625
1.797072,42.004234,0.000625
1.803892,477.312592,0.000625
1.812383,1021.44989,0.000625
1.819263,2353.631836,0.000625
1.825981,1888.727295,0.000625
1.837944,1134.573242,0.000625
1.846514,919.305481,0.000625
1.853261,-1442.441406,0.000625
1.860106,904.030579,0.000625
1.871924,2244.804443,0.000625
1.880558,9.068707,0.000625
1.887314,426.717957,0.000625
1.894115,1173.712036,0.000625
1.905946,1327.407715,0.000625
1.914736,1732.647461,0.000625
1.921367,1725.009277,0.000625
1.92801,718.359009,0.000625
1.934921,-114.078552,0.000625
1.946842,194.743256,0.000625
1.955402,244.384216,0.000625
1.962271,262.0448,0.000625
1.969092,279.705383,0.000625
1.980793,52.028091,0.000625
1.989503,222.429184,0.000625
1.996305,550.818909,0.000625
2.00315,279.705383,0.000625
2.014837,462.995789,0.000625
2.023412,369.438782,0.000625
2.030201,687.330811,0.000625
2.037309,338.415039,0.000625
2.048887,375.646515,0.000625
2.055616,670.148499,0.000625
2.064417,418.126099,0.000625
2.071124,836.729004,0.000625
2.077986,521.225647,0.000625
2.089763,369.91861,0.000625
2.098353,713.104919,0.000625
2.104869,595.210266,0.000625
2.112013,833.388245,0.000625
2.123887,910.238281,0.000625
2.132324,826.706665,0.000625
2.139357,947.943604,0.000625
2.146138,712.626587,0.000625
2.157975,880.643555,0.000625
2.164632,811.908508,0.000625
2.173201,639.598633,0.000625
2.180141,920.738953,0.000625
2.186874,716.44574,0.000625
2.198782,797.113403,0.000625
2.207434,1055.337646,0.000625
2.213963,911.191956,0.000625
2.220939,1054.86377,0.000625
2.232685,1194.714966,0.000625
2.241232,1083.503296,0.000625
2.2479,1239.581665,0.000625
2.255143,986.60553,0.000625
2.26678,1300.20166,0.000625
2.273565,1293.040283,0.000625
2.282115,1400.914063,0.000625
2.289031,1313.090942,0.000625
2.295568,1415.713623,0.000625
2.307484,1301.155273,0.000625
2.31617,1413.803345,0.000625
2.322955,1346.501831,0.000625
2.329944,1703.054199,0.000625
2.341584,1542.19873,0.000625
2.350033,1490.170654,0.000625
2.356864,1633.842407,0.000625
2.363691,1581.340454,0.000625
2.375627,1647.205566,0.000625
2.38195,1717.85083,0.000625
2.39124,1640.523926,0.000625
2.398055,1722.145264,0.000625
2.404831,1800.90271,0.000625
2.416313,1744.5802,0.000625
2.425167,1799.472168,0.000625
2.431845,1862.953125,0.000625
2.438639,1931.211304,0.000625
2.450596,1907.343018,0.000625
2.459125,2028.106201,0.000625
2.465952,2104.953125,0.000625
2.472637,2026.195801,0.000625
2.484279,2094.927979,0.000625
2.491071,2210.913818,0.000625
2.499768,2179.413086,0.000625
2.506646,2215.211182,0.000625
2.513657,2302.080566,0.000625
2.525371,2270.577148,0.000625
2.534487,2266.282715,0.000625
2.540846,2405.180176,0.000625
2.547709,2508.756592,0.000625
2.559266,2457.208252,0.000625
2.567927,2524.032959,0.000625
