Temperature (K),Channel 1 Resistance,Channel 1 Current (uA)
1.700038,2820.443848,0.000625
1.700038,2820.443848,0.000625
1.700038,2820.443848,0.000625
1.699959,3087.261230,0.000625
1.700063,-1348.887451,0.000625
1.707225,587.573547,0.000625
1.718403,1062.022095,0.000625
1.727258,3114.947266,0.000625
1.735252,3008.983887,0.000625
1.747215,4590.322754,0.000625
1.755582,-719.311157,0.000625
1.762255,16.706924,0.000625
1.768955,1637.184692,0.000625
1.780777,3948.334717,0.000625
1.787476,2001.373901,0.000625
1.796197,139.374374,0.000625
1.803008,-282.091003,0.000625
1.809767,830.525757,0.000625
1.821533,-352.256531,0.000625
1.830228,641.508911,0.000625
1.83693,213.358978,0.000625
1.843771,807.614075,0.000625
1.855595,359.417908,0.000625
1.864381,347.006927,0.000625
1.871078,395.692749,0.000625
1.877733,282.569336,0.000625
1.884551,579.935303,0.000625
1.896361,484.472473,0.000625
1.905112,398.556702,0.000625
1.911726,305.004181,0.000625
1.918448,646.281677,0.000625
1.930421,388.056000,0.000625
1.939212,549.865234,0.000625
1.946066,630.531433,0.000625
1.952556,491.632385,0.000625
1.964285,978.015198,0.000625
1.973178,817.161133,0.000625
1.980129,641.032104,0.000625
1.986705,305.481018,0.000625
1.99862,494.019501,0.000625
2.005385,785.657532,0.000625
2.014138,499.747437,0.000625
2.02072,715.970398,0.000625
2.027294,560.365906,0.000625
2.039383,346.528595,0.000625
2.048267,862.504639,0.000625
2.054973,699.263428,0.000625
2.061408,591.391113,0.000625
2.073478,605.232605,0.000625
2.082156,684.943665,0.000625
2.088597,1222.399414,0.000625
2.095462,978.015198,0.000625
2.102566,899.259277,0.000625
2.114427,952.716370,0.000625
2.122817,583.277588,0.000625
2.129773,1091.615356,0.000625
2.136461,1365.116089,0.000625
2.148108,1140.779541,0.000625
2.156972,1022.881897,0.000625
2.16356,1012.859497,0.000625
2.170681,1012.382690,0.000625
2.182364,1054.862305,0.000625
2.191129,1100.685547,0.000625
2.198,1079.682739,0.000625
2.204408,1132.662964,0.000625
2.216249,1156.051514,0.000625
2.22347,903.076904,0.000625
2.231835,1064.409302,0.000625
2.238761,1157.961792,0.000625
2.245311,1283.973022,0.000625
2.257255,1210.945068,0.000625
2.265833,1272.040283,0.000625
2.272552,1236.240845,0.000625
2.279696,1333.614014,0.000625
2.291169,944.125977,0.000625
2.300131,1107.842529,0.000625
2.306495,1312.609619,0.000625
2.313419,1051.520020,0.000625
2.325171,1142.689819,0.000625
2.331951,1310.226929,0.000625
2.34111,1267.267578,0.000625
2.34752,1262.496338,0.000625
2.354136,1426.689697,0.000625
2.366233,1318.338989,0.000625
2.375004,1276.813110,0.000625
2.381811,1441.963135,0.000625
2.388636,1309.270264,0.000625
2.400026,1532.176270,0.000625
2.408808,1426.212769,0.000625
2.415546,1457.716431,0.000625
2.421639,1472.989868,0.000625
2.434248,1572.748535,0.000625
2.440722,1577.519897,0.000625
2.449833,1457.713379,0.000625
2.456468,1579.430176,0.000625
2.463588,1659.141235,0.000625
2.47511,1698.280029,0.000625
2.484098,1742.192993,0.000625
2.490508,1683.483398,0.000625
2.497129,1701.143921,0.000625
