,vbias,rbias,ibias,ibias_meas,counts,vtrig,count_time,count_rate,att_db,delay,port
0,0,100000,0,1.98E-09,0,0.03,0.5,0,20,0.1,4
1,0.0025,100000,2.50E-08,-3.73E-08,0,0.03,0.5,0,20,0.1,4
2,0.005,100000,5.00E-08,-1.81E-08,0,0.03,0.5,0,20,0.1,4
3,0.0075,100000,7.50E-08,1.20E-08,0,0.03,0.5,0,20,0.1,4
4,0.01,100000,1.00E-07,3.21E-08,0,0.03,0.5,0,20,0.1,4
5,0.0125,100000,1.25E-07,6.21E-08,0,0.03,0.5,0,20,0.1,4
6,0.015,100000,1.50E-07,8.21E-08,0,0.03,0.5,0,20,0.1,4
7,0.0175,100000,1.75E-07,1.12E-07,0,0.03,0.5,0,20,0.1,4
8,0.02,100000,2.00E-07,1.32E-07,0,0.03,0.5,0,20,0.1,4
9,0.0225,100000,2.25E-07,1.62E-07,0,0.03,0.5,0,20,0.1,4
10,0.025,100000,2.50E-07,1.82E-07,0,0.03,0.5,0,20,0.1,4
11,0.0275,100000,2.75E-07,2.12E-07,0,0.03,0.5,0,20,0.1,4
12,0.03,100000,3.00E-07,2.33E-07,0,0.03,0.5,0,20,0.1,4
13,0.0325,100000,3.25E-07,2.62E-07,0,0.03,0.5,0,20,0.1,4
14,0.035,100000,3.50E-07,2.82E-07,0,0.03,0.5,0,20,0.1,4
15,0.0375,100000,3.75E-07,3.12E-07,0,0.03,0.5,0,20,0.1,4
16,0.04,100000,4.00E-07,3.32E-07,0,0.03,0.5,0,20,0.1,4
17,0.0425,100000,4.25E-07,3.62E-07,0,0.03,0.5,0,20,0.1,4
18,0.045,100000,4.50E-07,3.82E-07,0,0.03,0.5,0,20,0.1,4
19,0.0475,100000,4.75E-07,4.12E-07,0,0.03,0.5,0,20,0.1,4
20,0.05,100000,5.00E-07,4.32E-07,0,0.03,0.5,0,20,0.1,4
21,0.0525,100000,5.25E-07,4.62E-07,0,0.03,0.5,0,20,0.1,4
22,0.055,100000,5.50E-07,4.82E-07,0,0.03,0.5,0,20,0.1,4
23,0.0575,100000,5.75E-07,5.12E-07,0,0.03,0.5,0,20,0.1,4
24,0.06,100000,6.00E-07,5.31E-07,0,0.03,0.5,0,20,0.1,4
25,0.0625,100000,6.25E-07,5.61E-07,0,0.03,0.5,0,20,0.1,4
26,0.065,100000,6.50E-07,5.81E-07,0,0.03,0.5,0,20,0.1,4
27,0.0675,100000,6.75E-07,6.12E-07,0,0.03,0.5,0,20,0.1,4
28,0.07,100000,7.00E-07,6.32E-07,0,0.03,0.5,0,20,0.1,4
29,0.0725,100000,7.25E-07,6.62E-07,0,0.03,0.5,0,20,0.1,4
30,0.075,100000,7.50E-07,6.82E-07,0,0.03,0.5,0,20,0.1,4
31,0.0775,100000,7.75E-07,7.13E-07,0,0.03,0.5,0,20,0.1,4
32,0.08,100000,8.00E-07,7.32E-07,0,0.03,0.5,0,20,0.1,4
33,0.0825,100000,8.25E-07,7.62E-07,0,0.03,0.5,0,20,0.1,4
34,0.085,100000,8.50E-07,7.81E-07,0,0.03,0.5,0,20,0.1,4
35,0.0875,100000,8.75E-07,8.12E-07,0,0.03,0.5,0,20,0.1,4
36,0.09,100000,9.00E-07,8.32E-07,0,0.03,0.5,0,20,0.1,4
37,0.0925,100000,9.25E-07,8.62E-07,0,0.03,0.5,0,20,0.1,4
38,0.095,100000,9.50E-07,8.82E-07,0,0.03,0.5,0,20,0.1,4
39,0.0975,100000,9.75E-07,9.12E-07,0,0.03,0.5,0,20,0.1,4
40,0.1,100000,1.00E-06,9.32E-07,0,0.03,0.5,0,20,0.1,4
41,0.1025,100000,1.03E-06,9.61E-07,0,0.03,0.5,0,20,0.1,4
42,0.105,100000,1.05E-06,9.82E-07,0,0.03,0.5,0,20,0.1,4
43,0.1075,100000,1.08E-06,1.01E-06,0,0.03,0.5,0,20,0.1,4
44,0.11,100000,1.10E-06,1.03E-06,0,0.03,0.5,0,20,0.1,4
45,0.1125,100000,1.13E-06,1.06E-06,0,0.03,0.5,0,20,0.1,4
46,0.115,100000,1.15E-06,1.08E-06,0,0.03,0.5,0,20,0.1,4
47,0.1175,100000,1.18E-06,1.11E-06,0,0.03,0.5,0,20,0.1,4
48,0.12,100000,1.20E-06,1.13E-06,0,0.03,0.5,0,20,0.1,4
49,0.1225,100000,1.23E-06,1.16E-06,0,0.03,0.5,0,20,0.1,4
50,0.125,100000,1.25E-06,1.18E-06,0,0.03,0.5,0,20,0.1,4
51,0.1275,100000,1.28E-06,1.21E-06,0,0.03,0.5,0,20,0.1,4
52,0.13,100000,1.30E-06,1.23E-06,0,0.03,0.5,0,20,0.1,4
53,0.1325,100000,1.33E-06,1.26E-06,0,0.03,0.5,0,20,0.1,4
54,0.135,100000,1.35E-06,1.28E-06,0,0.03,0.5,0,20,0.1,4
55,0.1375,100000,1.38E-06,1.31E-06,0,0.03,0.5,0,20,0.1,4
56,0.14,100000,1.40E-06,1.33E-06,0,0.03,0.5,0,20,0.1,4
57,0.1425,100000,1.43E-06,1.36E-06,0,0.03,0.5,0,20,0.1,4
58,0.145,100000,1.45E-06,1.38E-06,0,0.03,0.5,0,20,0.1,4
59,0.1475,100000,1.48E-06,1.41E-06,0,0.03,0.5,0,20,0.1,4
60,0.15,100000,1.50E-06,1.43E-06,0,0.03,0.5,0,20,0.1,4
61,0.1525,100000,1.53E-06,1.46E-06,0,0.03,0.5,0,20,0.1,4
62,0.155,100000,1.55E-06,1.48E-06,0,0.03,0.5,0,20,0.1,4
63,0.1575,100000,1.58E-06,1.51E-06,0,0.03,0.5,0,20,0.1,4
64,0.16,100000,1.60E-06,1.53E-06,0,0.03,0.5,0,20,0.1,4
